original_BOL_address,geometry.location.lat,geometry.location.lng,country,number_of_transactions
"Caldera,Chile",-27.0667,-70.8178142,Chile,21.0
"Caldera,Costa Rica",9.940055300000001,-84.7276382,Costa Rica,5647.0
"Calexico, California",32.6789476,-115.4988834,United States,878.0
"Calexico-East, California",32.6752467,-115.3888223,United States,976.0
"Callao,Peru",-12.050849099999999,-77.1259843,Peru,10219.0
"Camden, New Jersey",39.9259463,-75.1196199,United States,6.0
"Cap Haitien,Haiti",19.7370362,-72.20676809999998,Haiti,25.0
"Cape Town,South Africa",-33.9248685,18.424055300000003,South Africa,4248.0
"Carquinez Strait, California",38.0319136,-122.1462193,United States,666.0
"Cartagena ,Colombia",10.3910485,-75.4794257,Colombia,26797.0
"Casablanca,Morocco",33.5731104,-7.589843399999999,Morocco,69.0
"Castries,St. Lucia",14.010109400000001,-60.987468699999994,Saint Lucia,83.0
"Caucedo,Dominican Republic",18.425332,-69.632825,Dominican Republic,8067.0
"Champlain Rouses Point, New York",44.993927899999996,-73.36485569999998,United States,10760.0
"Champlain-Cartage Cont, Champlain, New York",44.999002000000004,-73.45843190000001,United States,1.0
"Charleston, South Carolina",32.776474900000004,-79.93105120000001,United States,234799.0
"Charleston, West Virginia",38.3498195,-81.6326234,United States,777.0
"Charlestown, Nevis Is.,St. Kitts & Nevis",17.1374798,-62.62366329999999,Saint Kitts and Nevis,47.0
"Charlotte Amalie, Virgin Islands",18.3419004,-64.9307007,U.S. Virgin Islands,2.0
"Charlotte, North Carolina",35.2270869,-80.8431267,United States,2982.0
"Charlotte, North Carolina ",35.2270869,-80.8431267,United States,1084.0
"Chattanooga, Tennessee",35.0456297,-85.3096801,United States,160.0
"Cheju,South Korea",33.4890113,126.4983023,South Korea,1.0
"Chester, Pennsylvania",39.849557,-75.3557457,United States,800.0
"Chibako,Japan",35.6050574,140.1233063,Japan,85.0
"Chicago, Illinois",41.8781136,-87.62979820000001,United States,55455.0
"Chihuahua,Mexico",28.6329957,-106.0691004,Mexico,521.0
China (Mainland),26.2608772,-80.2493136,United States,1644.0
"Chittagong,Bangladesh",22.356851000000002,91.7831819,Bangladesh,143.0
"Chiwan,China (Mainland)",22.5272145,113.9180054,China,13597.0
"Christiansted, St. Croix,Virgin Islands",17.7466397,-64.7031977,U.S. Virgin Islands,29.0
"Cincinnati, Ohio",39.103118200000004,-84.5120196,United States,5469.0
"Civitavecchia,Italy",42.0924239,11.7954132,Italy,1189.0
"Cleveland, Ohio",41.499320000000004,-81.6943605,United States,6094.0
"Coahuila,Mexico",27.058676000000002,-101.70682940000002,Mexico,288.0
"Cochin,India",9.9312328,76.26730409999998,India,151.0
"Colombo Harbor,Sri Lanka",6.945533500000001,79.8479247,Sri Lanka,25508.0
"Columbia, South Carolina",34.0007104,-81.0348144,United States,25.0
"Columbus, Ohio",39.9611755,-82.99879419999998,United States,13191.0
"Constantza,Romania",44.1598013,28.634813800000003,Romania,2.0
"Coquimbo ,Chile",-29.959000899999996,-71.3389183,Chile,126.0
"Corinto,Nicaragua",12.490741400000001,-87.1784334,Nicaragua,1389.0
"Corpus Christi, Texas",27.800582799999997,-97.396381,United States,5.0
"Cotonou,Benin",6.3702928,2.3912362000000003,Benin,3.0
"Cristobal,Panama",9.350599,-79.901527,Panama,5997.0
"DHL Courier, Cincinnati, Ohio",39.139518,-84.51284709999999,United States,217.0
"DHL Worldwide, Los Angeles, California",34.030011200000004,-118.23374009999998,United States,7.0
"Dadiangas,Philippines",6.1163861,125.171618,Philippines,8.0
"Dakar,Senegal",14.716676999999999,-17.4676861,Senegal,7.0
"Dallas, Texas",32.7766642,-96.7969879,United States,47.0
"Dallas/Ft. Worth Airport, Texas",32.8998091,-97.0403352,United States,8136.0
"Dallas/Ft. Worth Airport, Texas ",32.8998091,-97.0403352,United States,1850.0
"Darwin,Australia",-12.4634403,130.8456418,Australia,1.0
"Davao,Philippines",7.190708,125.45534099999999,Philippines,62.0
"Dayton, Ohio",39.758947799999994,-84.1916069,United States,64.0
"Del Rio, Texas",29.370885700000002,-100.89586740000001,United States,441.0
"Delta, BC,Canada",49.09521549999999,-123.02647579999999,Canada,13.0
"Denver, Coloroda",39.739235799999996,-104.990251,United States,2655.0
"Derindje ,Turkey",40.756189,29.830918,Turkey,6.0
"Des Moines, Iowa",41.600544799999994,-93.6091064,United States,45.0
"Detour City, Michigan",45.9952966,-84.014636,United States,20.0
"Detroit Metropolitan Airport, Michigan",42.2161722,-83.3553842,United States,1867.0
"Detroit, Michigan",42.331427000000005,-83.0457538,United States,5959.0
"Djibouti,Djibouti",11.5720765,43.145647499999995,Djibouti,6.0
"Doha,Qatar",25.2854473,51.53103979999999,Qatar,29.0
"Douglas, Arizona",31.344547100000003,-109.54534469999999,United States,19.0
"Drammen,Norway",59.7440738,10.204456500000001,Norway,1.0
"Dublin,Ireland",53.34980529999999,-6.2603097000000005,Ireland,38.0
"Dunkirk,France",51.0343684,2.3767763,France,14.0
"Durham, North Carolina",35.99403289999999,-78.898619,United States,319.0
"Durres,Albania",41.3245904,19.4564686,Albania,1.0
"Eagle Pass, Texas",28.7091433,-100.4995214,United States,344.0
"East Chicago, Indiana",41.63920239999999,-87.4547635,United States,1.0
"East London,South Africa",-33.0291582,27.8545867,South Africa,3.0
"Eemshaven,Netherlands",53.4385887,6.835493700000001,Netherlands,6.0
"El Dekheila,Egypt",30.7051537,30.7716308,Egypt,392.0
"El Djazair,Algeria",36.754387200000004,3.0462061,Algeria,13.0
"El Paso, Texas",31.7618778,-106.48502169999999,United States,5215.0
"Emden,Federal Republic of Germany",53.359402900000006,7.2060095,Germany,97.0
"Ensenada,Mexico",31.866742699999996,-116.5963713,Mexico,3386.0
"Erie, Pennsylvania",42.12922409999999,-80.085059,United States,53.0
"Escombreras,Spain",37.57925090000001,-0.9099551,Spain,3.0
"Everett, Washington",47.9789848,-122.2020795,United States,17960.0
"Everett, Washington ",47.9789848,-122.2020795,United States,6273.0
"FOS Sur Mer,France",43.43788199999999,4.945711,France,2693.0
"Fajardo, Puerto Rico",18.325786899999997,-65.6523838,Puerto Rico,1.0
"Fall River, Massachusetts",41.7014912,-71.1550451,United States,50.0
"Felixstowe ,United Kingdom",51.961726,1.3512549999999999,United Kingdom,7221.0
"Fernandina Beach, Florida ",30.669681800000003,-81.46259189999998,United States,38.0
"Ferrysburg, Michigan",43.08446199999999,-86.2203313,United States,8.0
"Fort Myers, Florida",26.640628000000003,-81.87230840000001,United States,144.0
"Fort Pierce, Florida ",27.446705600000005,-80.3256056,United States,13.0
"Fort Williams, ONT, Canada",48.3450222,-89.35831809999998,Canada,1.0
"Fredericia,Denmark",55.56892979999999,9.749517,Denmark,50.0
"Freeport, Texas",28.9541368,-95.3596617,United States,15925.0
"Fremantle,Australia",-32.0569,115.7439,Australia,29.0
"Fresno, California",36.7468422,-119.7725868,United States,140.0
"Fresno, California ",36.7468422,-119.7725868,United States,44.0
"Galveston, Texas",29.3013479,-94.7976958,United States,1510.0
"Gateway Freight Services Inc., Los Angeles, California",33.9434918,-118.3767058,United States,3.0
"Gdansk,Poland",54.35202520000001,18.6466384,Poland,48.0
"Gdynia,Poland",54.51888979999999,18.5305409,Poland,73.0
"Genova,Italy",44.4056499,8.946256,Italy,19874.0
"Georgetown,Guyana",6.801279300000001,-58.1551255,Guyana,27.0
"Gevle,Sweden",60.6748796,17.141272600000004,Sweden,12.0
"Gibraltar,Gibraltar",36.140751,-5.353585,Gibraltar,1.0
"Gioia Tauro,Italy",38.4262258,15.8988669,Italy,6908.0
"Goderich, ONT,Canada",43.7428345,-81.7138942,Canada,8.0
"Gothenburg,Sweden",57.70887,11.97456,Sweden,18197.0
"Gozo Island,Malta",36.0442999,14.2512221,Malta,603.0
"Grand Cayman,Cayman Islands",19.3221698,-81.2408689,Cayman Islands,45.0
"Grand Popo,Benin",6.2639324,1.7417143,Benin,4.0
"Grand Rapids, Michigan",42.9633599,-85.6680863,United States,167.0
"Grand Turks,Turks and Caicos Islands",21.467458399999998,-71.13891009999998,Turks and Caicos Islands,3.0
"Grangemouth,United Kingdom",56.0097152,-3.7227697999999996,United Kingdom,49.0
"Grant County Airport, Moses Lake, Washington",47.189955299999994,-119.32439070000001,United States,259.0
"Green Bay, Wisconsin",44.51915899999999,-88.019826,United States,1.0
"Greenville Spartanburg, South Carolina",34.8959008,-82.2172338,United States,2312.0
"Guam Island,Guam",13.452107999999999,144.7631754,Guam,152.0
"Guayaquil,Ecuador",-2.1709979,-79.9223592,Ecuador,26854.0
"Gulfport, Mississippi",30.367419800000004,-89.0928155,United States,37029.0
"Gun Cay,Bahamas",25.5813392,-79.3000757,The Bahamas,1.0
"Hachinohe,Japan",40.5122839,141.4883986,Japan,4.0
"Haifa,Israel",32.7940463,34.989571000000005,Israel,4049.0
"Haiphong,Vietnam",20.8449115,106.6880841,Vietnam,1578.0
"Hakata,Japan",33.59135759999999,130.4148783,Japan,1014.0
"Halifax, NS,Canada",44.64876350000001,-63.5752387,Canada,24333.0
"Halmstad,Sweden",56.6743748,12.8577885,Sweden,2.0
"Hamilton, ONT,Canada",43.255720600000004,-79.87110240000001,Canada,46.0
"Hamilton,Bermuda",32.2945837,-64.7858887,Bermuda,2538.0
"Hanko,Finland",59.83448199999999,22.964781,Finland,42.0
"Harrisburg, Pennsylvania",40.273191100000005,-76.88670079999999,United States,10.0
"Hartford, Connecticut",41.76371109999999,-72.6850932,United States,5.0
"Helsingborg,Sweden",56.0464674,12.6945121,Sweden,121.0
"Helsinki,Finland",60.16985569999999,24.938379100000002,Finland,4.0
"Hidalgo, Texas",26.1003547,-98.2630684,United States,3404.0
"Hidalgo,Mexico",20.0910963,-98.76238740000001,Mexico,1.0
"Highgate Springs/Alburg, Vermont",45.012885100000005,-73.0854626,United States,1.0
"Hilo, Hawaii",19.707094199999997,-155.0884869,United States,8.0
"Hiroshima,Japan",34.385202899999996,132.4552927,Japan,125.0
"Hitaki Ko,Japan",34.2840025,134.0461587,Japan,1.0
"Hodeidah,Yemen",14.790911800000002,42.970883799999996,Yemen,2.0
"Hong Kong,Hong Kong",22.396428,114.10949699999999,,81711.0
"Honolulu International Airport, Honolulu, Hawaii",21.3245132,-157.9250736,United States,1.0
"Honolulu, Hawaii",21.3069444,-157.8583333,United States,16072.0
"Houlton, Maine",46.126180600000005,-67.8402316,United States,7.0
"Houston Intercontinental Airport, Houston, Texas",29.990219899999996,-95.3367827,United States,165.0
"Houston Intercontinental Airport, Houston, Texas ",29.990219899999996,-95.3367827,United States,3.0
"Houston, Texas",29.7604267,-95.36980279999999,United States,342673.0
"Huasco,Chile",-28.4664,-71.2192,Chile,3.0
"Huntsville, Alabama",34.730368799999994,-86.5861037,United States,1123.0
"Ilo,Peru",-17.6680839,-71.34680909999999,Peru,157.0
"Imbituba,Brazil",-28.227627000000002,-48.6691286,Brazil,13.0
"Indianapolis, Indiana",39.768403,-86.158068,United States,2567.0
"Indianapolis, Indiana ",39.768403,-86.158068,United States,362.0
"International Falls/Rainer, Minnesota",48.4335974,-93.2269014,United States,291.0
"Iquique,Chile",-20.2307033,-70.13566920000001,Chile,113.0
"Iskenderun,Turkey",36.584672999999995,36.1756161,Turkey,52.0
"Islas de Coco,Costa Rica",5.5282282999999985,-87.0574302,Costa Rica,14.0
"Istanbul,Turkey",41.0082376,28.978358899999996,Turkey,9272.0
"Itajay,Brazil",-26.910705199999995,-48.670913299999995,Brazil,993.0
"Izmir ,Turkey",38.423734,27.142826,Turkey,407.0
"Iztapa,Guatemala",13.9336649,-90.7129007,Guatemala,155.0
"Jacksonville, Florida",30.3321838,-81.65565099999998,United States,19441.0
"Jalisco,Mexico",20.6595382,-103.34943759999999,Mexico,1.0
"Jazirath Halul,Qatar",25.6666667,52.41666670000001,,3.0
"Jebel Ali,United Arab Emirates",24.9857145,55.0272904,United Arab Emirates,10560.0
"Jinsen,South Korea",37.4562557,126.70520619999999,South Korea,15.0
"John F. Kennedy Airport, Jamaica, New York",40.6397092,-73.74322059999999,United States,21.0
"Judda,Saudi Arabia",21.2854067,39.23755070000001,Saudi Arabia,315.0
"Kakogawa,Japan",34.7569503,134.8411775,Japan,29.0
"Kalundborg,Denmark",55.686429000000004,11.089188,Denmark,3.0
"Kamaishi,Japan",39.2758183,141.88567719999998,Japan,40.0
"Kanda,Japan",35.6570442,139.7287018,Japan,22.0
"Kanokawa,Japan",35.096509000000005,138.85834,Japan,1.0
"Kansas City, Missouri",39.0997265,-94.5785667,United States,4959.0
"Kaohsiung,China (Taiwan)",22.627278399999998,120.3014353,Taiwan,98376.0
"Karachi Harbor,Pakistan",24.8490635,66.97609,Pakistan,39.0
"Kawasaki,Japan",35.52981980000001,139.7024039,Japan,646.0
"Kemlik,Turkey",40.43181999999999,29.155416,Turkey,3973.0
"Khor Fakkan,United Arab Emirates",25.3365669,56.3432629,United Arab Emirates,13.0
"King Abdul Aziz Port,Saudi Arabia",26.471267600000004,50.19869509999999,Saudi Arabia,131.0
"Kingston, ONT, Canada",44.2311717,-76.48595440000001,Canada,1.0
"Kingston, ONT,Canada",44.2311717,-76.48595440000001,Canada,3.0
"Kingstown,St. Vincent & Northern Grenadines",13.160024900000002,-61.2248157,Saint Vincent and the Grenadines,210.0
"Kingsville, ONT,Canada",42.0362841,-82.7389809,Canada,2.0
"Kitakyushu,Japan",33.8834093,130.8752161,Japan,1.0
"Knoxville, Tennessee",35.96063839999999,-83.9207392,United States,1302.0
"Knoxville, Tennessee ",35.96063839999999,-83.9207392,United States,408.0
"Kobe,Japan",34.690083,135.1955112,Japan,41160.0
"Kobenhavn,Denmark",55.676096799999996,12.568337199999998,Denmark,7.0
"Kona, Hawaii",19.639994,-155.9969261,United States,54.0
"Konakri,Guinea",9.6411855,-13.578401199999998,Guinea,1.0
"Konigsberg,Russia",54.710426399999996,20.452214399999995,Russia,2.0
"Koper,Slovenia",45.54805899999999,13.730187699999998,Slovenia,14.0
"Kota Kinabalu,Malaysia",5.980408000000001,116.0734568,Malaysia,2.0
"Kowloon,Hong Kong",22.3185673,114.1796057,Hong Kong,84.0
"Kunson,South Korea",35.967677200000004,126.7366293,South Korea,17.0
"Kuwait,Kuwait",29.375859000000002,47.9774052,Kuwait,9.0
"Kwangyang,South Korea",34.9406968,127.6958882,South Korea,5800.0
"La Guaira,Venezuala",10.587508,-66.9213628,Venezuela,2371.0
"La Paz,Mexico",24.1426408,-110.3127531,Mexico,1.0
"La Spezia,Italy",44.102450399999995,9.8240826,Italy,15413.0
"Lae,Papua New Guinea",-6.715525200000001,146.999905,Papua New Guinea,9.0
"Laem Chabang,Thailand",13.1040552,100.9158073,Thailand,31079.0
"Lafiteau ,Haiti",18.694767499999998,-72.35331169999998,Haiti,1.0
"Lampton, ONT,Canada",43.0527085,-82.0407137,Canada,2.0
"Laredo, Texas",27.530567100000003,-99.4803241,United States,1641.0
"Las Vegas, NV",36.169941200000004,-115.13982959999998,United States,817.0
"Lazaro Cardenas,Mexico",17.9567646,-102.1943485,Mexico,17489.0
"Le Havre,France",49.49437,0.107929,France,24240.0
"Leamington, ONT,Canada",42.053163399999995,-82.5998874,Canada,2.0
"Legaspi,Philippines",13.139062099999999,123.74379950000001,Philippines,29.0
"Limassol,Cyprus",34.7071301,33.0226174,Cyprus,2.0
"Linden,Guyana",6.0116099,-58.308957400000004,Guyana,1.0
"Lisbon,Portugal",38.722252399999995,-9.1393366,Portugal,25.0
"Little Rock, Arkansas",34.7464809,-92.2895948,United States,82.0
"Liverpool,United Kingdom",53.40837140000001,-2.9915726,United Kingdom,27499.0
"Livorno,Italy",43.548473,10.3105674,Italy,6849.0
"Logan Airport, East Boston, Massachusetts",42.365613200000006,-71.00956020000001,United States,1492.0
"Lome,Togo",6.1724969000000005,1.2313618,Togo,1.0
"London,United Kingdom",51.5073509,-0.12775830000000002,United Kingdom,532.0
"Londonderry ,United Kingdom",54.9966124,-7.308574799999999,United Kingdom,1.0
"Long Beach, California",33.770050399999995,-118.1937395,United States,210689.0
"Longview, Washington",46.1381676,-122.9381672,United States,894.0
"Los Angeles International Airport, Los Angeles, California",33.9415889,-118.40853,United States,544.0
"Los Angeles, California",34.0522342,-118.24368490000002,United States,475160.0
"Louisville, Kentucky",38.252664700000004,-85.7584557,United States,5736.0
"Luanda,Angola",-8.839987599999997,13.289436800000002,Angola,9.0
"Madras,India",13.0826802,80.2707184,India,1372.0
"Majuro Atoll,Marshall Islands",7.116421400000001,171.1857736,Marshall Islands,1.0
"Malaga,Spain",36.721273700000005,-4.4213987999999995,Spain,5.0
"Malaga,Spain ",36.721273700000005,-4.4213987999999995,Spain,4.0
"Malhado,Brazil",-14.7831919,-39.046327000000005,Brazil,28.0
"Malmo,Sweden",55.604981,13.003822,Sweden,3.0
"Manaus,Brazil",-3.1190275,-60.0217314,Brazil,160.0
"Manila ,Philippines",14.599512400000002,120.98421950000001,Philippines,380.0
"Manitoba,Canada",53.7608608,-98.8138762,Canada,16.0
"Manta,Ecuador",-0.9676533000000002,-80.7089101,Ecuador,65.0
"Manzanillo,Mexico",19.113809399999997,-104.33846159999999,Mexico,35368.0
"Maputo,Mozambique",-25.891968,32.605135100000005,Mozambique,3.0
"Marigot, St. Martin,Guadeloupe",18.0670391,-63.08472939999999,Saint Martin,2.0
"Marsaxlokk,Malta",35.8411699,14.539309699999999,Malta,333.0
"Marseille,France",43.296482,5.36978,France,6.0
"Marsh Harbour,Bahamas",26.5241653,-77.09098089999998,The Bahamas,7.0
"Masan,South Korea",35.213516,128.581433,South Korea,27.0
"Matarani,Peru",-17.0054057,-72.10014340000001,Peru,174.0
"Mazatlan ,Mexico",23.2494148,-106.41114250000001,Mexico,73.0
"Meadows Field Airport, Baskersfield, California",35.4329123,-119.056618,United States,6.0
"Memel,Lithuania",55.70329479999999,21.1442795,Lithuania,27.0
"Memphis, Tennessee",35.1495343,-90.0489801,United States,6150.0
"Memphis, Tennessee ",35.1495343,-90.0489801,United States,1442.0
"Memphis, Tennessee Cartage-Control, New Orleans, Louisiana",35.010232200000004,-89.8763626,United States,34.0
"Mersin,Turkey",36.8121041,34.6414811,Turkey,4255.0
"Mexico,Mexico",19.4326077,-99.133208,Mexico,716.0
"Miami International Airport , Miami, Florida",25.795865,-80.28704570000001,United States,270.0
"Miami, Florida",25.7616798,-80.1917902,United States,36473.0
"Milwaukee, Wisconsin",43.0389025,-87.9064736,United States,264.0
"Mina Dumyat,Egypt",31.405874199999996,31.809753399999998,Egypt,1802.0
"Mina Sulman,Bahrain",26.203971600000003,50.6132554,Bahrain,8.0
"Mina Zayed,United Arab Emirates",24.5224833,54.387718299999996,United Arab Emirates,8.0
"Minneapolis St. Paul, Minnesota",44.9374831,-93.2009998,United States,3826.0
"Mizusima,Japan",36.6387419,136.9015148,Japan,66.0
"Mobile, Alabama",30.6953657,-88.0398912,United States,5629.0
"Mobile, Alabama ",30.6953657,-88.0398912,United States,2470.0
"Moin,Costa Rica",9.9924257,-83.0951852,Costa Rica,51280.0
"Moji,Japan",33.94113839999999,130.95966289999998,Japan,39.0
"Mombasa,Kenya",-4.0434771000000005,39.668206500000004,Kenya,1.0
"Monrovia,Liberia",6.2907432,-10.7605239,Liberia,7.0
"Monrovia,Liberia ",6.2907432,-10.7605239,Liberia,6.0
"Montego Bay,Jamaica",18.4762228,-77.8938895,Jamaica,1.0
"Monterey, California",36.600237799999995,-121.8946761,United States,1.0
"Montevideo,Uruguay",-34.901112700000006,-56.16453139999999,Uruguay,1131.0
"Montreal, QUE,Canada",45.5016889,-73.567256,Canada,14945.0
"Morgan City, Louisiana",29.6993748,-91.20677,United States,65.0
"Morgan City, Louisiana ",29.6993748,-91.20677,United States,31.0
"Mosel ,Spain",42.8444911,-2.6723223999999997,Spain,7.0
"Mucuripe,Brazil",-3.7253934,-38.4836782,Brazil,273.0
"Mumbai,India",19.0759837,72.87765590000001,India,1472.0
"Mundra,India",22.8395202,69.7213266,India,25838.0
"Nacala,Mozambique",-14.5656065,40.6854309,Mozambique,25.0
"Nagoya Ko ,Japan",35.091814500000005,136.8801169,Japan,36397.0
"Nanking,China (Mainland)",32.047455,118.786341,China,660.0
"Nantong,China (Mainland)",32.3596,120.709078,China,61.0
"Napier,New Zealand",-39.492844399999996,176.9120178,New Zealand,497.0
"Napoli,Italy",40.851774600000006,14.268124400000001,Italy,9482.0
"Nashville, Tennessee",36.1626638,-86.78160159999999,United States,2519.0
"Nassau, New Providence Island,Bahamas",25.0479835,-77.355413,The Bahamas,1985.0
"Nemrut Bay,Turkey",38.9414151,33.5319123,Turkey,6605.0
"New Bedford, Massachusetts",41.6362152,-70.93420499999998,United States,376.0
"New Brunswick,Canada",46.56531629999999,-66.46191639999999,Canada,6.0
"New Orleans, Louisiana",29.95106579999999,-90.0715323,United States,49519.0
"New Westminster, BC,Canada",49.2057179,-122.910956,Canada,395.0
"New York, New York",36.102371500000004,-115.17455590000002,United States,51296.0
"New York, New York ",36.102371500000004,-115.17455590000002,United States,42396.0
"New York/Newark Area, Newark, New Jersey",40.6895314,-74.17446240000001,United States,482509.0
"Newcastle,Australia",-32.9282712,151.78168019999998,Australia,1.0
"Newfoundland,Canada",53.1355091,-57.660436399999995,Canada,1.0
"Newport News, Virginia",37.087082099999996,-76.4730122,United States,6.0
"Newport, Rhode Island",41.4901024,-71.31282850000001,United States,2116.0
"Nhava Sheva,India",18.949936100000002,72.9511875,India,40086.0
"Niigata,Japan",37.9161924,139.0364126,Japan,3.0
